,,
Plan School/College,Academic Plan,Link
Letters & Science,Environmental Studies BA,https://guide.wisc.edu/undergraduate/letters-science/environmental-studies/environmental-studies-major/index.html
Letters & Science,Environmental Studies BS,https://guide.wisc.edu/undergraduate/letters-science/environmental-studies/environmental-studies-major/index.html
Letters & Science,French BA,https://guide.wisc.edu/undergraduate/letters-science/french-italian/french-ba/index.html
Letters & Science,French BS,https://guide.wisc.edu/undergraduate/letters-science/french-italian/french-bs/index.html
Letters & Science,Gender & Women's Studies BA,https://guide.wisc.edu/undergraduate/letters-science/gender-womens-studies/gender-womens-studies-ba/index.html
Letters & Science,Gender & Women's Studies BS,https://guide.wisc.edu/undergraduate/letters-science/gender-womens-studies/gender-womens-studies-bs/index.html
Letters & Science,Geography BA,https://guide.wisc.edu/undergraduate/letters-science/geography/geography-ba/index.html
Letters & Science,Geography BS,https://guide.wisc.edu/undergraduate/letters-science/geography/geography-bs/index.html
Letters & Science,Geology & Geophysics BA,https://guide.wisc.edu/undergraduate/letters-science/geoscience/geology-geophysics-ba/index.html
Letters & Science,Geology & Geophysics BS,https://guide.wisc.edu/undergraduate/letters-science/geoscience/geology-geophysics-bs/index.html
Letters & Science,German BA,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/german-ba/index.html
Letters & Science,German BS,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/german-bs/index.html
Letters & Science,History BA,https://guide.wisc.edu/undergraduate/letters-science/history/history-ba/index.html
Letters & Science,History BS,https://guide.wisc.edu/undergraduate/letters-science/history/history-bs/index.html
Letters & Science,Information Science BA,https://guide.wisc.edu/undergraduate/letters-science/information/information-science-ba/index.html
Letters & Science,Information Science BS,https://guide.wisc.edu/undergraduate/letters-science/information/information-science-bs/index.html
Letters & Science,International Studies BA,https://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/international-studies-ba/index.html
Letters & Science,International Studies BS,https://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/international-studies-bs/index.html
Letters & Science,Italian BA,https://guide.wisc.edu/undergraduate/letters-science/french-italian/italian-ba/index.html
Letters & Science,Italian BS,https://guide.wisc.edu/undergraduate/letters-science/french-italian/italian-bs/index.html
Letters & Science,Japanese BA,https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/japanese-ba/index.html
Letters & Science,Japanese BS,https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/japanese-bs/index.html
Letters & Science,Jewish Studies BA,https://guide.wisc.edu/undergraduate/letters-science/center-jewish-studies/jewish-studies-ba/index.html
Letters & Science,Journalism BA,https://guide.wisc.edu/undergraduate/letters-science/journalism-mass-communication/journalism-mass-communication-jba/index.html
